Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Size,Set,Source,Source Notes
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_1_0.png,Yellow,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_2_0.png,Green,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_3_0.png,Red,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_4_0.png,Purple,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_5_0.png,Pink,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_6_0.png,White,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_7_0.png,Black,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
flimsy axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeStone.png,NA,NA,Yes,No,NA,40,1,800,200,1x1,None,Nook's Cranny; Crafting,Available after unlocking the axe in the story
flimsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodWood.png,NA,NA,Yes,No,NA,9.5,1,NFS,100,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
flimsy net,https://acnhcdn.com/latest/FtrIcon/ToolNet.png,NA,NA,Yes,No,NA,10,1,NFS,100,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
flimsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolShovelWood.png,NA,NA,Yes,No,NA,40,1,800,200,1x1,None,Nook's Cranny; Crafting,Available after unlocking the shovel in the story
flimsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringWood.png,NA,NA,Yes,No,NA,20,1,800,200,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
golden axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeGold.png,NA,NA,Yes,No,NA,200,1,NFS,10655,1x1,None,Crafting,
golden net,https://acnhcdn.com/latest/FtrIcon/ToolNetGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,1x1,None,Crafting,
golden rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,1x1,None,Crafting,
golden shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopGold.png,NA,NA,Yes,No,NA,200,1,NFS,10675,1x1,None,Crafting,
golden slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotGold.png,NA,NA,Yes,No,NA,60,1,NFS,10300,1x1,None,Crafting,
golden wand,https://acnhcdn.com/latest/FtrIcon/ToolStickGolden.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,20750,1x1,None,Crafting,
golden watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringGold.png,NA,NA,Yes,No,NA,180,1,NFS,10675,1x1,None,Crafting,
hyacinth wand,https://acnhcdn.com/latest/FtrIcon/ToolStickHyacinth.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1660,1x1,None,Crafting,
ice wand,https://acnhcdn.com/latest/FtrIcon/ToolStickSnow.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,6500,1x1,None,Crafting,
iron wand,https://acnhcdn.com/latest/FtrIcon/ToolStickIron.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3750,1x1,None,Crafting,
ladder,https://acnhcdn.com/latest/FtrIcon/ToolLadder.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1440,1x1,None,Crafting,
light stick,https://acnhcdn.com/latest/FtrIcon/ToolSticklight.png,NA,NA,No,No,NA,Unlimited,1,1500,375,1x1,None,Isabelle,Obtained by speaking to Isabelle on New Year's Eve
lily wand,https://acnhcdn.com/latest/FtrIcon/ToolStickYuri.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,1x1,None,Crafting,
mums wand,https://acnhcdn.com/latest/FtrIcon/ToolStickChrysanthemum.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,1x1,None,Crafting,
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_0_0.png,Ordinary mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_1_0.png,White mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_2_0.png,Strange mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_3_0.png,Red mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_4_0.png,Yellow mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_0_0.png,Red,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_1_0.png,Yellow,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_2_0.png,Green,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_3_0.png,Blue,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_4_0.png,Purple,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_5_0.png,Pink,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_6_0.png,White,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_7_0.png,Black,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
Nook Inc. uchiwa fan,https://acnhcdn.com/latest/FtrIcon/ToolFanNook0.png,NA,NA,No,No,NA,Unlimited,1,8000,2000,1x1,None,Nook Miles Shop,
ocarina,https://acnhcdn.com/latest/FtrIcon/ToolOcarina.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1000,1x1,None,Crafting,
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,100,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,20,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,20,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
